Threshold,Accuracy,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.9,0.49401576237062816,0.0,0.0,0.0,97660,26,100000,0
0.8,0.5036320225003288,0.9815100154083205,0.01911,0.03749006836885833,97650,36,98089,1911
0.7,0.6578260473680483,0.9985209379718362,0.32405,0.4893056404913441,97638,48,67595,32405
0.6,0.8150298958955111,0.999087332808812,0.63492,0.7764231121981046,97628,58,36508,63492
0.5,0.8149388424066449,0.9985691373942577,0.63507,0.7763786843359943,97595,91,36493,63507
0.4,0.8148831986078934,0.9980519378505334,0.63529,0.7763866229155592,97562,124,36471,63529
0.3,0.8146454478314094,0.9970034515218074,0.63549,0.7762183950164896,97495,191,36451,63549
0.2,0.8092884675697823,0.9793041899398359,0.63644,0.7714938571662353,96341,1345,36356,63644
0.1,0.7810062422225145,0.8993296152329446,0.63856,0.7468363313138874,90538,7148,36144,63856
