Friday_DDoS_Exposure,Friday_DDoS_Training_Samples,Total_Training_Samples,Accuracy,Precision,Recall,F1,False_Positive,False_Negative,True_Positive,True_Negative
0.0,0,200000,0.7926678006945921,0.9987228294240452,0.6352303438364082,0.7765449545489267,52,23350,40663,48807
0.05,3200,203200,0.9984584307888582,0.9992180046606922,0.998062893474763,0.9986401150431412,50,124,63889,48809
0.1,6401,206401,0.9987507973633851,0.9991871951981993,0.998609657413338,0.9988983428263366,52,89,63924,48807
0.25,16003,216003,0.9991317598695868,0.9992189330625635,0.9992501523128114,0.9992345424438404,50,48,63965,48809
0.5,32007,232007,0.9992380749875965,0.999156711173577,0.9995001015418743,0.999328376858678,54,32,63981,48805
