Family_A,Family_B,Mean_KS,Median_KS,Max_KS
ddos,patator,0.48711090114958866,0.498173951933502,0.63175
dos,ddos,0.43531940592048785,0.42304405920487864,0.69155
dos,patator,0.5220841341636604,0.6272774575352367,0.7977896819660282
